page_id,title,tag,note
6602850379,Ручная выписка (черновик Маши),поставщики/партнёры,
6985187381,Работа с оспариваниями в поддержке,регламенты_поддержки,
6776881486,Работа с Support On-Call Specialists,регламенты_поддержки,ручная разметка
6796411450,Работа в ЛК GDS,hub_page,хаб / оглавление раздела
6524273093,Прямые инструкции Аэрофлота (Маша Кудряшова),поставщики/партнёры,
7217873079,Процесс работы с тикетами Баошенга,поставщики/партнёры,
5617779106,Прописать флоу возврата страховок (Аня),регламенты_поддержки,
6972112995,Приоритетная поддержка,регламенты_поддержки,
6800736257,Пример страницы АК,поставщики/партнёры,ручная разметка
6693257364,Постмортем,sup-hr,
6021611866,Поиск информации о рейсе в Сирене,инструменты_поддержки,инструкции по GDS/Сирене
6905856170,Победа (DP),поставщики/партнёры,
7021232287,"Передача на 3 линию lite 1 (2 линия OTA, ПП)",регламенты_поддержки,
7352090688,Памятка по невозвратным таксам,правила_авиа,
6047564111,Оформление EMD в Сирене,инструменты_поддержки,инструкции по GDS/Сирене
7274922855,"Отправка отчёта поставщикам Аэроклуб, Aeroflot Direct",поставщики/партнёры,
6977847758,Отели Авиасейлс: как обрабатывать саппортовые вопросы,описания_продукта,
6973948018,Ответы на вопросы из формы по новым критериям,sup-hr,
6055461352,Основные команды по теме «Бронирование»,инструменты_поддержки,инструкции по GDS/Сирене
6055068145,Основные команды в Сирене,инструменты_поддержки,инструкции по GDS/Сирене
6758629523,Онбординг: Баошенг для 3 lite (I),регламенты_поддержки,
6988824878,Общее описание новой карьерной лестницы,sup-hr,
7019626798,Общее о команде 3 линия lite 1,регламенты_поддержки,
6996394931,Обучение эскалации в партнёров,регламенты_поддержки,
7211941926,Обучение поставщикам 2л для 3х линий,поставщики/партнёры,
6675824959,MISSING,?,страница не найдена
7250903089,Обработка тикета после возврата,регламенты_поддержки,
6451822805,Обновить статью «Общая информация» для 3lite+ (Маша Кудряшова),регламенты_поддержки,
5515411495,Обновить статьи по ВВ мед,регламенты_поддержки,
6677037057,MISSING,?,страница не найдена
6994198809,MISSING,?,страница не найдена
6751354992,Многостороннее соглашение М1 (Sirena),правила_авиа,
6867583168,MISSING,?,страница не найдена
6941016167,Лояльный возврат,регламенты_поддержки,
7260536849,ЛК Crane Pax для мониторинга,поставщики/партнёры,
7251525782,Личный кабинет Salo LK,инструменты_поддержки,
6652100622,MISSING,?,страница не найдена
6669598761,MISSING,?,страница не найдена
6884655393,Контроль качества в поддержке,sup-qa,
6832848902,Компенсации в Мете,регламенты_поддержки,
6055068155,Команды по теме «Доп услуги»,инструменты_поддержки,инструкции по GDS/Сирене
6054838951,Команды по теме «Возврат»,инструменты_поддержки,инструкции по GDS/Сирене
6809616466,Клиент-серверное взаимодействие.,инструменты_поддержки,ручная разметка
7274791741,Калькулятор невозвратных такс,правила_авиа,
6961234004,Как эскалировать кейсы партнёрам Мета,регламенты_поддержки,
6590464037,Как скачать МК из системы (Маша Кудряшова),инструменты_поддержки,
7241924627,Как работать с оценками «Проблема не решена»,sup-qa,
7348519320,Как правильно заполнить поля и теги,sup-qa,
7328464930,Как пользоваться баллами в Сало ОТА,описания_продукта,
6809485418,Как писать в канал #aviasales_support,регламенты_поддержки,ручная разметка
7305265282,Как передавать фичреквесты,инструменты_поддержки,
6804733972,Как относить запросы в QA,sup-qa,
6813384857,"Как общаться с клиентом, памятка — 3 линия ОТА",регламенты_поддержки,
7295533223,Как обрабатывать баги,инструменты_поддержки,
6021611857,Как найти информацию в GDS Сирена,инструменты_поддержки,инструкции по GDS/Сирене
6809452643,Как локализовать проблемы с сетью у юзера?,инструменты_поддержки,
6809452632,Как локализовать источник?,инструменты_поддержки,
6677004347,Как запрашивать отпуск в HiBob для команды L&D и QA,sup-qa,
6047170787,Как добронировать ребёнка в Сирене,инструменты_поддержки,инструкции по GDS/Сирене
7348683027,Как выбрать статус и запустить сценарий,инструменты_поддержки,
6594658387,MISSING,?,страница не найдена
5970362648,Изменения в расписании 2,инструменты_поддержки,инструкции по GDS/Сирене
6590824468,"Изменение алгоритмов группы ""Выписка"" (Маша Кудряшова)",регламенты_поддержки,
6797328387,Зампочты,инструменты_поддержки,ручная разметка
7276265804,Задачи и приоритет,sup-hr,
6780289026,Ежемесячный дайджест от поддержки — ЯНВАРЬ 2026,sup-hr,
6821281907,Дополнить статью по ТФ — багаж в IBE (Настя Постникова),регламенты_поддержки,
5601624097,Дополнить статью по процессам 2 линии B2B (Таня),регламенты_поддержки,
6047465860,Дополнительные услуги и специальные запросы в PNR в Сирене,инструменты_поддержки,инструкции по GDS/Сирене
6671368231,Доп. услуги ОТА 0 линия,регламенты_поддержки,
6825542197,Документы для перелёта (СНГ),правила_авиа,
6453100632,Добавить про ручную кладь в доп. услуги Азимута (А4) (Маша Кудряшова),поставщики/партнёры,
6661734562,Для мониторинга: управление пользователями в ЛК PK FARE,поставщики/партнёры,
6742835300,Для мониторинга: управление пользователями в ЛК BingTrip,поставщики/партнёры,
7116914888,Действия с бронированием Turkish Airlines,поставщики/партнёры,
7311425683,Дежурства команды CP,hub_page,хаб / оглавление раздела
6899728546,Дашборд производительности,sup-qa,
7170556002,Дашборд качества,sup-qa,
6776848738,Дайджесты для продукта,описания_продукта,ручная разметка
6924633965,Государственные таксы,правила_авиа,
6989840472,Горячие клавиши во Freshdesk,инструменты_поддержки,
6997345059,Гайд: логин после смены почты,инструменты_поддержки,
7034405087,MISSING,?,страница не найдена
6855066210,Временные политики,hub_page,хаб / оглавление раздела
7348322406,Воркшоп по обменам билетов в Сирене,инструменты_поддержки,инструкции по GDS/Сирене
7300317205,"Воркшоп по допуслугам, корректировкам и оформлению детских билетов в Сирене",инструменты_поддержки,инструкции по GDS/Сирене
7325058132,Воркшоп по возвратам билетов в Сирене,инструменты_поддержки,инструкции по GDS/Сирене
7151517922,Вопрос пингвинам в #support-admins,регламенты_поддержки,ручная разметка
7289701278,Возврат в Реестре,инструменты_поддержки,инструкции по GDS/Сирене
6995312642,Взаимодействие с партнёрами для меты,регламенты_поддержки,
6742769736,Взаимодействие с SERP по повторяющимся запросам,регламенты_поддержки,
7116554440,Взаимодействие по партнерским вопросам Меты,регламенты_поддержки,
7021166652,Взаимодействие 3 линии lite 1 с другими командами,регламенты_поддержки,
6047400147,Бронирование мест в салоне самолета в Сирене,инструменты_поддержки,инструкции по GDS/Сирене
6905790657,Аэрофлот (SU),поставщики/партнёры,
7019168034,Алгоритм работы с тикетами 3 линия lite 1,регламенты_поддержки,
5973279125,Алгоритм бронирования. Тарификация и выписка,инструменты_поддержки,инструкции по GDS/Сирене
5973639451,Алгоритм бронирования. Обязательные поля,инструменты_поддержки,инструкции по GDS/Сирене
6796411470,Азимут (А4),поставщики/партнёры,
7020085440,Адаптеры 3 линия lite 1,регламенты_поддержки,
6904610990,Автоназначение тикетов Angry.Space,инструменты_поддержки,
6855131586,WY Oman Air — временная политика,правила_авиа,
6884458582,VS//Virgin Atlantic - временная политика,правила_авиа,
6899466242,Uzbekistan Airways // HY - временная политика,правила_авиа,
6856540305,UT//Utair - временная политика,правила_авиа,
6834389417,User Platform,инструменты_поддержки,
6797296012,Turkish Аirlines,поставщики/партнёры,
6855098907,Turkish Airlines TK — временная политика,правила_авиа,
6857457718,SV// SAUDI ARABIAN AIRLINES — временная политика,правила_авиа,
6884327497,SunExpress // XQ - временная политика,правила_авиа,
6876004362,SRILANKAN AIRLINES— временная политика,правила_авиа,
7233372250,Sos4 (чарджи/досудебки),hub_page,хаб / оглавление раздела
7233273920,Sos3 (чаты),hub_page,хаб / оглавление раздела
7232225532,"Sos2 (баги, инциденты, фичи, паркинг)",hub_page,хаб / оглавление раздела
7233241221,"Sos1 (sos-фин: согласования,справки,фин)",hub_page,хаб / оглавление раздела
7233601564,SoS-ГДС,hub_page,хаб / оглавление раздела
7233503252,SoS-light,hub_page,хаб / оглавление раздела
7233601572,SoS-hard,hub_page,хаб / оглавление раздела
7232913536,SoS-gds,hub_page,хаб / оглавление раздела
6748930220,Smartwings / QS / 797,поставщики/партнёры,
7112982627,Samanta Lukina,sup-hr,
6796837187,S7 Smart Тicketing,поставщики/партнёры,
6856540287,S7 — временная политика,правила_авиа,
7282229289,Ryanair / FR / 224,поставщики/партнёры,
6940262547,"Rusline / Руслайн / контакты для клиента и правила онлайн-регистрации (мета, 0)",поставщики/партнёры,
6856278109,ROYAL JORDANIAN RJ — временная политика,правила_авиа,
6854803890,Qatar Airways QR — временная политика,правила_авиа,
6866141430,Pobeda // DP - временная политика,правила_авиа,
6972833838,Philippine Airlines / PR / - временная политика,правила_авиа,
6862635136,Pegasus // PC - временная политика,правила_авиа,
6797263282,Pegasus,поставщики/партнёры,
7261716672,OTA Tech Support,регламенты_поддержки,
7112884337,Nadezhda Kokhan,sup-hr,
6867288202,Myanmar Airways // 8M - временная политика,правила_авиа,
6857621575,MU// China Eastern airlines - временная политика,правила_авиа,
6934626413,"Lufthansa group // OS (257), SN (082), LH (220), LX (724), EN (101) - временная политика",правила_авиа,
6868402343,Japan Airlines // JL - временная политика,правила_авиа,
7196214080,ITA AIRWAYS / AZ - временная политика,правила_авиа,
6843400441,Internal Support Automation + OTA Base Backoffice,инструменты_поддержки,
6909231503,Hainan Airlines // HU - временная политика,правила_авиа,
6856704107,Gulf Air GF — временная политика,правила_авиа,
6856769677,FlyDubai FZ — временная политика,правила_авиа,
6796804561,Flydubai,поставщики/партнёры,
7311884422,FlyArystan / FS / 164,поставщики/партнёры,
6940590277,"Fly One / Флайван / контакты для клиента и правила онлайн-регистрации (мета, 0)",поставщики/партнёры,
7261880404,Explore,описания_продукта,
7122485463,Excellence Manager,sup-hr,
6856409145,Etihad EY — временная политика,правила_авиа,
6856441976,ET Ethiopian Airlines — временная политика,правила_авиа,
6856769633,Emirates EK — временная политика,правила_авиа,
6856212618,El Al // LY — временная политика,правила_авиа,
7113015392,Ekaterina Molkova,sup-hr,
6882558011,EGYPTAIR (MS) — временная политика,правила_авиа,
7171375131,CRM качества,инструменты_поддержки,
7355170998,CP Hard,hub_page,хаб / оглавление раздела
7198048517,Condor Airlines / DE / 881,поставщики/партнёры,
7350386840,Condor / DE / 881,поставщики/партнёры,
6856736962,Client Automation Team,регламенты_поддержки,
5682496448,BERlogic и его FAQ (Маша),поставщики/партнёры,
5682955191,Berlogic 3 GDS (Илья),поставщики/партнёры,
6867091463,Belavia//B2 - временная политика,правила_авиа,
6912344213,Azerbaijan Hava Yollary Airlines (J2) — временная политика,правила_авиа,
7276920884,Armenian Airlines / JI / 540,поставщики/партнёры,
6854869500,Ajet/VF - временная политика,правила_авиа,
7260471368,"AJet возврат, обмен и доп. услуги",поставщики/партнёры,
7260438549,AJet,поставщики/партнёры,
6884458572,AirIndia // AI - временная политика,правила_авиа,
6882459744,Air Seychelles (HM) — временная политика,правила_авиа,
6882328582,Air Mauritius (MK) — временная политика,правила_авиа,
6971752957,Air Arabia (G9)/ Air Arabia Abu Dhabi (3L),поставщики/партнёры,ручная разметка
6855066239,Aeroflot SU — временная политика,правила_авиа,
6992855083,3 линия Lite 1 — карьерная лестница,sup-hr,
7019397291,3 линия lite 1,hub_page,хаб / оглавление раздела
6972342303,3 линия Light 2,hub_page,хаб / оглавление раздела
6972145755,3 линия Light 1,hub_page,хаб / оглавление раздела
6972112974,3 линия Hard,hub_page,хаб / оглавление раздела
6991544339,3 Hard CP,hub_page,хаб / оглавление раздела
6971981910,2 линия OTA,hub_page,хаб / оглавление раздела
7034011847,MISSING,?,страница не найдена
7068680299,#support_processes,регламенты_поддержки,ручная разметка
